Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.360538	0.385425	87.481995	86.909996	
0.100000	0.352586	0.417878	87.818001	85.650002	
0.100000	0.360919	0.382414	87.451996	86.669998	
0.100000	0.357042	0.393824	87.603996	86.610001	
0.100000	0.362613	0.377572	87.397995	86.919998	
0.100000	0.353667	0.388702	87.624001	86.459999	
0.100000	0.354967	0.376931	87.736000	87.250000	
0.100000	0.356035	0.383697	87.537994	86.619995	
0.100000	0.360796	0.376704	87.325996	86.639999	
0.100000	0.352332	0.390089	87.813995	86.579994	
0.100000	0.357707	0.384840	87.400002	86.720001	
0.100000	0.357717	0.393786	87.551994	86.639999	
0.100000	0.359842	0.373926	87.323997	86.979996	
0.100000	0.358064	0.378132	87.486000	87.309998	
0.100000	0.358692	0.386501	87.481995	86.699997	
0.100000	0.356847	0.377828	87.512001	87.049995	
0.100000	0.355506	0.389937	87.570000	86.849998	
0.100000	0.354408	0.371490	87.625999	87.029999	
0.100000	0.354162	0.384892	87.599998	86.979996	
0.100000	0.355695	0.381754	87.461998	87.009995	
0.100000	0.359212	0.374038	87.419998	86.930000	
0.100000	0.357046	0.383726	87.517998	86.839996	
0.100000	0.352938	0.393971	87.537994	86.549995	
0.100000	0.357324	0.401685	87.523994	86.320000	
0.100000	0.359494	0.384136	87.489998	86.389999	
0.100000	0.355046	0.387351	87.598000	86.699997	
0.100000	0.354292	0.396103	87.607994	86.809998	
0.100000	0.357334	0.387721	87.542000	86.729996	
0.100000	0.353433	0.399836	87.591995	86.329994	
0.100000	0.354083	0.385596	87.619995	86.779999	
0.100000	0.354470	0.378588	87.627998	87.199997	
0.100000	0.356868	0.388008	87.417999	87.040001	
0.100000	0.352438	0.384618	87.855995	86.540001	
0.100000	0.354450	0.392332	87.687996	86.519997	
0.100000	0.357465	0.391677	87.607994	86.820000	
0.100000	0.354697	0.382902	87.681999	86.949997	
0.100000	0.354772	0.381438	87.639999	87.059998	
